Price,CPU Name,CPU Achitecture,CPU Core,CPU Thread,CPU Cache,CPU Base Clock,CPU Max Clock,CPU Intel,Base Power,Max Power,CPU Gen,RAM,Memory Type,Max DDR Support,Storage,Storage Type,GPU Name,GPU VRAM,GPU Onboard,GPU AMD,GPU NVIDIA,Display Type,Display Size,Display Frequency,OS,Warrant,Display Width,Display Height
19290000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,12.0,1920,1080
19990000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,64,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,24.0,1920,1080
18990000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,5,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1200
51790000,i7-14700HX,7,20.0,28.0,33,1.5,5.5,1,55,157,7,32,5,5.0,1024,1,4070,12.0,0,0,1,1,16.0,240,11,12.0,2560,1600
56790000,i9-14900HX,7,24.0,32.0,36,1.6,5.8,1,55,157,9,32,5,5.0,1024,1,4070,12.0,0,0,1,1,16.0,240,11,12.0,2560,1600
19790000,i5-13500H,7,12.0,16.0,18,4.7,4.7,1,45,95,5,64,5,5.0,512,1,,0.0,1,0,0,1,16.0,60,11,24.0,1920,1200
75990000,185H,7,16.0,22.0,24,1.8,5.1,1,45,115,9,32,5,5.0,1024,1,4070,12.0,0,0,1,0,16.0,240,11,24.0,2560,1600
14990000,Ryzen 7 7730U,7,8.0,16.0,20,2.0,4.5,0,15,15,7,16,4,4.0,512,1,,0.0,1,0,0,1,16.0,60,11,24.0,1920,1200
52990000,i7-1360P,7,12.0,16.0,18,5.0,5.0,1,28,64,7,16,5,5.0,1024,1,,0.0,1,0,0,1,13.0,60,11,36.0,2160,1350
19900000,i5-1335U,7,10.0,12.0,12,4.6,4.6,1,15,55,5,8,4,5.0,256,1,,0.0,1,0,0,1,14.0,60,10,12.0,1920,1080
19999000,i7-13620H,7,10.0,16.0,24,4.9,4.9,1,45,115,7,16,5,5.0,512,1,,0.0,1,0,0,0,14.0,60,11,36.0,1920,1200
66990000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,16,5,5.0,512,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
75690000,155H,7,16.0,22.0,24,0.9,4.8,1,28,115,7,64,5,5.0,1024,1,,0.0,1,0,0,0,14.0,60,11,12.0,3200,2000
8790000,i3-1115G4,10,2.0,4.0,6,1.7,4.1,1,12,28,3,8,4,4.0,256,1,,0.0,1,0,0,0,15.0,60,11,12.0,1920,1080
24990000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,1,14.0,60,11,12.0,1920,1080
28990000,i5-1340P,7,12.0,16.0,12,4.6,4.6,1,28,64,5,16,5,5.0,512,1,,0.0,1,0,0,0,14.0,90,11,12.0,2560,1600
39999000,i7-13700,7,16.0,24.0,30,1.5,5.1,1,65,219,7,32,5,5.0,1024,1,,0.0,1,0,0,0,14.0,120,11,12.0,2880,1800
20490000,i7-1355U,7,10.0,12.0,12,5.0,5.0,1,15,55,7,16,4,5.0,512,1,,0.0,1,0,0,1,15.0,60,11,24.0,1920,1080
35790000,i5-13500HX,7,14.0,20.0,24,4.7,4.7,1,55,157,5,32,5,5.0,512,1,4060,8.0,0,0,1,1,16.0,165,11,12.0,1920,1200
17990000,i5-12450H,7,8.0,12.0,12,4.4,4.4,1,45,95,5,32,4,5.0,512,1,,0.0,1,0,0,1,15.0,144,11,12.0,1920,1080
31990000,i5-1135G7,10,4.0,8.0,8,0.9,4.2,1,12,28,5,8,4,4.0,256,1,,0.0,1,0,0,0,12.0,60,10,12.0,1920,1080
